Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 00:00:00-05:00,251.47000122070312,252.2899932861328,243.02999877929688,246.88999938964844,3756800,0.0,0.0
2024-01-03 00:00:00-05:00,240.32000732421875,248.83099365234375,238.61000061035156,244.36000061035156,3157600,0.0,0.0
2024-01-04 00:00:00-05:00,246.0,247.61000061035156,243.63999938964844,245.64999389648438,2103000,0.0,0.0
2024-01-05 00:00:00-05:00,245.0,249.47999572753906,244.64999389648438,247.4600067138672,2407500,0.0,0.0
2024-01-08 00:00:00-05:00,251.89999389648438,261.6390075683594,251.55999755859375,261.2799987792969,4009200,0.0,0.0
2024-01-09 00:00:00-05:00,265.69500732421875,276.55999755859375,264.989990234375,273.7699890136719,6066900,0.0,0.0
2024-01-10 00:00:00-05:00,274.8699951171875,282.31500244140625,274.8699951171875,282.0400085449219,4674000,0.0,0.0
2024-01-11 00:00:00-05:00,284.0,287.760009765625,280.3500061035156,284.5199890136719,3460700,0.0,0.0
2024-01-12 00:00:00-05:00,287.0,290.3299865722656,282.510009765625,283.3500061035156,2534400,0.0,0.0
2024-01-16 00:00:00-05:00,279.3900146484375,287.20001220703125,279.05999755859375,286.2900085449219,2690800,0.0,0.0
2024-01-17 00:00:00-05:00,279.5400085449219,283.2300109863281,272.79901123046875,276.2699890136719,4419700,0.0,0.0
2024-01-18 00:00:00-05:00,281.6700134277344,284.4599914550781,279.1700134277344,283.1099853515625,2705900,0.0,0.0
2024-01-19 00:00:00-05:00,285.0,290.8500061035156,283.79998779296875,290.5400085449219,3011200,0.0,0.0
2024-01-22 00:00:00-05:00,300.4800109863281,302.0,295.3699951171875,298.6600036621094,4229400,0.0,0.0
2024-01-23 00:00:00-05:00,298.1700134277344,299.70001220703125,291.7049865722656,297.2699890136719,2989300,0.0,0.0
2024-01-24 00:00:00-05:00,300.5799865722656,307.54998779296875,298.5400085449219,300.2799987792969,4454200,0.0,0.0
2024-01-25 00:00:00-05:00,305.6099853515625,306.29998779296875,290.7900085449219,293.4599914550781,4332900,0.0,0.0
2024-01-26 00:00:00-05:00,290.489990234375,293.75,286.75,290.30999755859375,2811500,0.0,0.0
2024-01-29 00:00:00-05:00,294.0,300.70001220703125,293.75,300.6700134277344,3131500,0.0,0.0
2024-01-30 00:00:00-05:00,301.0,302.614990234375,298.3999938964844,301.3500061035156,2147400,0.0,0.0
2024-01-31 00:00:00-05:00,298.0,300.114990234375,290.8900146484375,292.5,2494100,0.0,0.0
2024-02-01 00:00:00-05:00,296.1400146484375,299.8999938964844,294.1700134277344,299.3699951171875,1853600,0.0,0.0
2024-02-02 00:00:00-05:00,299.75,305.2099914550781,296.7099914550781,303.57000732421875,2374500,0.0,0.0
2024-02-05 00:00:00-05:00,305.0,307.7659912109375,295.57000732421875,302.489990234375,2481300,0.0,0.0
2024-02-06 00:00:00-05:00,305.3699951171875,307.7699890136719,295.30999755859375,302.1099853515625,2087600,0.0,0.0
2024-02-07 00:00:00-05:00,307.7300109863281,321.07000732421875,306.7099914550781,317.7799987792969,4017400,0.0,0.0
2024-02-08 00:00:00-05:00,316.7099914550781,323.9289855957031,314.0299987792969,323.0400085449219,2531100,0.0,0.0
2024-02-09 00:00:00-05:00,330.0,336.989990234375,326.42999267578125,329.3399963378906,3870000,0.0,0.0
2024-02-12 00:00:00-05:00,329.70001220703125,330.6679992675781,320.6300048828125,321.2900085449219,3414100,0.0,0.0
2024-02-13 00:00:00-05:00,307.5400085449219,326.3399963378906,302.0,322.44000244140625,4531400,0.0,0.0
2024-02-14 00:00:00-05:00,327.760009765625,334.8999938964844,326.55999755859375,334.54998779296875,2394900,0.0,0.0
2024-02-15 00:00:00-05:00,337.5,338.4530029296875,327.1130065917969,331.3800048828125,2919900,0.0,0.0
2024-02-16 00:00:00-05:00,331.7900085449219,332.3699951171875,325.1300048828125,329.239990234375,2123900,0.0,0.0
2024-02-20 00:00:00-05:00,327.0,327.0,315.07000732421875,323.7099914550781,4136700,0.0,0.0
2024-02-21 00:00:00-05:00,283.0299987792969,294.5989990234375,273.1600036621094,292.3599853515625,9015100,0.0,0.0
2024-02-22 00:00:00-05:00,304.92999267578125,313.6600036621094,297.0,310.9100036621094,4797900,0.0,0.0
2024-02-23 00:00:00-05:00,313.7799987792969,317.0,308.5799865722656,311.489990234375,2965200,0.0,0.0
2024-02-26 00:00:00-05:00,313.1600036621094,323.3139953613281,309.489990234375,321.0299987792969,3884900,0.0,0.0
2024-02-27 00:00:00-05:00,323.3999938964844,329.0899963378906,320.7099914550781,321.2099914550781,2790400,0.0,0.0
2024-02-28 00:00:00-05:00,318.8599853515625,321.69000244140625,314.54998779296875,320.94000244140625,2072600,0.0,0.0
2024-02-29 00:00:00-05:00,324.9100036621094,328.9800109863281,321.07000732421875,324.1499938964844,3812100,0.0,0.0
2024-03-01 00:00:00-05:00,319.25,319.7200012207031,309.1199951171875,314.6000061035156,5837400,0.0,0.0
